"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Vasquez A.T.; Tenorio A.R.V.; Tenorio W.M.M.; Uy D.M.D.Q.; Valentino C.R.; Ventura J.B.E.; Santos J.L.; Dela Cruz T.J.C.","Vasquez, Angeli T. (60503297300); Tenorio, Angela Renee V. (60503297400); Tenorio, Winlaure Minda M. (60503880400); Uy, Denise Marie Dominique Q. (60503687500); Valentino, Criszella R. (60503098500); Ventura, John Benedict E. (60503687600); Santos, Jorel L. (60503880500); Dela Cruz, Tristan Jourdan C. (60503496000)","60503297300; 60503297400; 60503880400; 60503687500; 60503098500; 60503687600; 60503880500; 60503496000","Cross-sectional Study on Health-seeking Behavior and Barriers to Perceived Usability of Medication Tracker among Middle-aged Adults in a Community in Marikina City","2026","Acta Medica Philippina","60","5","","26","37","0","10.47895/amp.vi0.12022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105032776630&doi=10.47895%2Famp.vi0.12022&partnerID=40&md5=241175c013fea04ee472bcddcb3a529e","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105032776630"
"Zhao Y.; Deng X.; Shen M.; Bi J.; Wang C.; Zhang Y.; Li Y.; Ning L.","Zhao, Yu (55726096800); Deng, Xiaojiang (58093858400); Shen, Mingxuan (58987972600); Bi, Jing (55873898400); Wang, Chaolin (57190568666); Zhang, Yongfa (57204874103); Li, Yang (57856524100); Ning, Lin (57278145700)","55726096800; 58093858400; 58987972600; 55873898400; 57190568666; 57204874103; 57856524100; 57278145700","Effect of surface roughness on acousto-optic characteristics and energy evolution of cracked concrete-sandstone","2026","Theoretical and Applied Fracture Mechanics","142","","105407","","","1","10.1016/j.tafmec.2025.105407","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105025562574&doi=10.1016%2Fj.tafmec.2025.105407&partnerID=40&md5=3d52e5e75ecd1c567c40cba8a5586321","Concrete mixtures; Crack closure; Fracture; Fracture mechanics; Gaussian distribution; Image analysis; Safety engineering; Strain measurement; Surface roughness; Acoustic emission; Acoustic-emissions; Classification methods; Concrete-rock; Crack classification; Crack classification method; Digital image correlations; Energy; Interface roughness; Rock interfaces; Entropy","Article","Final","","Scopus","2-s2.0-105025562574"
"Huang B.; Kim M.; Zhang P.; Oduro E.; Rau D.A.; Cai L.-H.","Huang, Baiqiang (58085035900); Kim, Myoeum (57794327200); Zhang, Pu (60165502600); Oduro, Emmanuel (60170096300); Rau, Daniel A. (57204138361); Cai, Li-Heng (53866005700)","58085035900; 57794327200; 60165502600; 60170096300; 57204138361; 53866005700","Additive Manufacturing of Molecular Architecture Encoded Stretchable Polyethylene Glycol Hydrogels and Elastomers","2026","Advanced Materials","38","15","e12806","","","0","10.1002/adma.202512806","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020470214&doi=10.1002%2Fadma.202512806&partnerID=40&md5=b9a926a6cbbc87d9c513a8db9c49a446","Additives; Architecture; Biomimetic processes; Hydrogels; Lithium batteries; Medical applications; Network architecture; Photopolymerization; Plastics; Solid electrolytes; elastomer; electrolyte; hydrogel; lithium; macrogol; macrogol derivative; polymer; resin; solvent; Additive manufacturing technology; Biomedical applications; Bottlebrush; Digital light processing; Functionals; Molecular architecture; Photo polymerization; Solid state polymer electrolyte; Stretchable network; Vascular network; ambient air; article; geometry; molecular weight; pharmaceutics; room temperature; solid state; three dimensional printing; vascularization; Elastomers","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105020470214"
"Banaeian Far S.; Qazani M.R.C.; Rad A.I.","Banaeian Far, Saeed (57203846778); Qazani, Mohammad Reza Chalak (60512692100); Rad, Azadeh Imani (58089617600)","57203846778; 60512692100; 58089617600","Molecular Communication Is the Internet of Brain Missing Key: A Comprehensive Overview of Background Technologies and the Generic Framework","2026","Engineering Reports","8","3","e70708","","","0","10.1002/eng2.70708","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105033078146&doi=10.1002%2Feng2.70708&partnerID=40&md5=9f8f0e8d508b2109a506629a562a048d","Biocompatibility; Brain; Digital radio; Digital twin; Interfaces (computer); Radio systems; Brain-interfaces; Cell–cell interface; Device-less communication; Explosive growth; Generic frameworks; Invasive surgery; Molecular communication; Nano communications; Neural technologies; Next-generation communication; Brain computer interface","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105033078146"
"Ding B.; Gou T.; Li Z.; Fang Y.; Wu Y.; Xu M.; Yang K.; Zhang S.; Dou H.; Zhang X.","Ding, Bing (37098647000); Gou, Tingwei (60027655100); Li, Zhe (60230741900); Fang, Yiting (60028254600); Wu, Yangchen (60028254700); Xu, Miao (55621085300); Yang, Kai (60231098800); Zhang, Shengliang (57201055336); Dou, Hui (23990426100); Zhang, Xiaogang (35263469600)","37098647000; 60027655100; 60230741900; 60028254600; 60028254700; 55621085300; 60231098800; 57201055336; 23990426100; 35263469600","Interface-engineered hybrid halide/sulfide electrolytes for enhanced high-temperature cycling stability in all-solid-state batteries","2026","Journal of Power Sources","663","","238852","","","2","10.1016/j.jpowsour.2025.238852","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024337260&doi=10.1016%2Fj.jpowsour.2025.238852&partnerID=40&md5=07302d57a64318739d7c4733b5888a8e","Cathodes; Digital storage; Electric discharges; High temperature applications; Indium compounds; Lithium Chloride; Phase interfaces; Solid electrolytes; Solid state devices; Solid-State Batteries; Stability; Sulfur compounds; All-solid-state battery; Cathode/electrolyte interface; Cycling stability; Electrolyte interfaces; Halide electrolyte; High temperature cycling; Interfacial instability; Layered oxide cathodes; Ni-rich layered oxide cathode; Sulphide electrolyte; Interface states","Article","Final","","Scopus","2-s2.0-105024337260"
"Wróblewski Ł.; Maciejewski G.","Wróblewski, Łukasz (57200183875); Maciejewski, Grzegorz (57205567094)","57200183875; 57205567094","Sustainable Consumer Behavior in the Phygital Environment: Determinants of Sustainable Decision-Making at the Interface of Physical and Digital Worlds","2026","Sustainability (Switzerland)","18","5","2521","","","0","10.3390/su18052521","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105032715353&doi=10.3390%2Fsu18052521&partnerID=40&md5=d03863ba62236e31274b24cf4118778b","consumption behavior; decision making; integrated approach; policy approach; sustainability","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105032715353"
"Li L.; Li S.; Yuan C.; Feng X.; Peng K.; Wang X.","Li, Luoning (58902309800); Li, Shuchen (57211740254); Yuan, Chao (35886206400); Feng, Xianda (35785614900); Peng, Kefeng (58688053300); Wang, Xiaotian (60096822300)","58902309800; 57211740254; 35886206400; 35785614900; 58688053300; 60096822300","Experimental investigation on the interface mechanical behavior between waterproof membrane and substrate in composite tunnel lining","2026","Construction and Building Materials","513","","145337","","","0","10.1016/j.conbuildmat.2026.145337","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028861252&doi=10.1016%2Fj.conbuildmat.2026.145337&partnerID=40&md5=b7734f5627373255fe4ec59a25375dc5","Bond strength (materials); Composite membranes; Durability; Energy dispersive spectroscopy; Energy dissipation; Friction; Interfaces (materials); Mortar; Scanning electron microscopy; Stiffness; Structural analysis; Tensile strength; Tunnel linings; Composite shell; Composite sprayed lining; Energy; Interface mechanics; Membrane thickness; Normal stress; Polymer content; Shear tests; Waterproof membrane; Waterproofing membrane; Waterproofing","Article","Final","","Scopus","2-s2.0-105028861252"
"Zhou Z.; Yang Q.","Zhou, Ziqiang (55511516100); Yang, Qingmiao (57201553807)","55511516100; 57201553807","From image to insight: an AI-enabled framework for echocardiography acquisition, reconstruction, interpretation and interaction","2026","European Heart Journal - Digital Health","7","3","ztaf141","","","0","10.1093/ehjdh/ztaf141","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105033105743&doi=10.1093%2Fehjdh%2Fztaf141&partnerID=40&md5=0aaef339a59d9c02b44a89956b9ae6aa","","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105033105743"
"Lin J.; Sheng J.; Wang X.; Liu J.; Wang H.","Lin, Junxian (59700794200); Sheng, Jinchang (8354301400); Wang, Xiaolin (55588809162); Liu, Jia (60440011900); Wang, Huimin (36015780400)","59700794200; 8354301400; 55588809162; 60440011900; 36015780400","Interface stability of gas bubbles in saline-aquifer compressed air energy storage: Heterogeneity-induced fingering evolution","2026","Energy","347","","140386","","","0","10.1016/j.energy.2026.140386","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105032157876&doi=10.1016%2Fj.energy.2026.140386&partnerID=40&md5=a1cf840e00e7ac5780693bc8fe7f9faa","Air permeability; Aquifers; Bubble formation; Bubbles (in fluids); Channel flow; Compressed air energy storage; Digital storage; Gas permeability; Gases; Geographical distribution; Hydrogeology; Low permeability reservoirs; Phase interfaces; Pressure distribution; Pressure vessels; Reservoirs (water); Salt deposits; Two phase flow; Dip angle; Energy; Fingering factor; Gas bubble; Gas bubble formation; Interface stabilities; Permeability heterogeneity; Permeability ratio; Saline aquifers; Weak layer; aquifer; bubble; compressed air; energy storage; heterogeneity; numerical model; permeability; reservoir; Compressed air","Article","Final","","Scopus","2-s2.0-105032157876"
"Li Z.; Zhang P.; Zhou F.; Zhang Y.; Xu W.","Li, Zhe (57191699895); Zhang, Pengyuan (60368044700); Zhou, Fei (60367982800); Zhang, Yongjian (60368221900); Xu, Weiyue (60367982900)","57191699895; 60368044700; 60367982800; 60368221900; 60367982900","Wear and wear suppression of carbide tool in intermittent cutting: a review","2026","International Journal of Advanced Manufacturing Technology","142","11-12","","5531","5569","0","10.1007/s00170-026-17527-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029172948&doi=10.1007%2Fs00170-026-17527-6&partnerID=40&md5=03ad6d1d95aa7331159d8c20d6eed5ae","Adaptive control systems; Carbides; Digital twin; Process control; Tribology; Wear of materials; Cost-efficiency; High frequency HF; Impact loads; Intermittent cutting; Physical and mechanical properties; Premature failures; Repeated impact; Suppression strategy; Tool wear; Wear mechanisms; Carbide cutting tools","Review","Final","","Scopus","2-s2.0-105029172948"
"Boumahdi A.; Ammari F.; Ammari M.","Boumahdi, Abdelaziz (59670829800); Ammari, Fadwa (60111587500); Ammari, Mohammed (25924257400)","59670829800; 60111587500; 25924257400","An HCI-Centered Experiences of ICT Integration and Its Impact on Professional Competencies Supporting Formative Assessment in Higher Education e-Learning","2026","Multimodal Technologies and Interaction","10","2","14","","","0","10.3390/mti10020014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105031266327&doi=10.3390%2Fmti10020014&partnerID=40&md5=33ed623cd05948827edccb3c55cf008f","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105031266327"
"Wu Y.; Zhou W.; Jin H.; Li G.; Wang X.; Wang L.; Du H.; Sun Z.; Ding S.; Zhang T.; Zhang J.; Bu F.; Zhao Z.; Ye C.; Li W.; Chao D.; Zhao D.","Wu, Yucai (59735540500); Zhou, Wanhai (55850459200); Jin, Hongrun (57201702880); Li, Gaoyang (57216251051); Wang, Xia (57240466600); Wang, Lipeng (57211751447); Du, Huan (60346728800); Sun, Zhihao (57211046958); Ding, Shixiang (58313327700); Zhang, Tengsheng (57217005379); Zhang, Junwei (59650322400); Bu, Fanxing (55225777300); Zhao, Zaiwang (55857112400); Ye, Chao (57194901558); Li, Wei (55083152500); Chao, Dongliang (54580725000); Zhao, Dongyuan (7403489871)","59735540500; 55850459200; 57201702880; 57216251051; 57240466600; 57211751447; 60346728800; 57211046958; 58313327700; 57217005379; 59650322400; 55225777300; 55857112400; 57194901558; 55083152500; 54580725000; 7403489871","Ultrathin Mesoporous Ionic Brushes Separator Enables Fast and Durable Zinc-Metal Aqueous Batteries","2026","Advanced Materials","38","16","e23619","","","0","10.1002/adma.202523619","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029809799&doi=10.1002%2Fadma.202523619&partnerID=40&md5=b36fb78a3f4cec4ecfeefd5dbe72da84","Charging (batteries); Dendrites (metallography); Electric rectifiers; Kinetics; Mesoporous materials; Phase interfaces; Secondary batteries; Separators; Silica; Solvation; Zinc; Zinc compounds; Anti-corrosion; Aqueous batteries; Mesoporous; Mesoporous interface; Mesoporous separator; Side reactions; Ultra-thin; Zinc metal; Zn anode; Anodes","Article","Final","","Scopus","2-s2.0-105029809799"
"Gusain M.; Ahuja P.; Bassi A.; Kour D.; Dubey K.","Gusain, Meenakshi (37060822700); Ahuja, Preety (55608428900); Bassi, Akshara (57220571592); Kour, Divjot (60206978200); Dubey, Kumud (57203999416)","37060822700; 55608428900; 57220571592; 60206978200; 57203999416","Functionalized carbon materials for high-energy sodium-ion batteries: Progress, mechanisms, and perspectives","2026","Journal of Power Sources","667","","239311","","","0","10.1016/j.jpowsour.2026.239311","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029935234&doi=10.1016%2Fj.jpowsour.2026.239311&partnerID=40&md5=7d969ef7ab230e529686c348b0abf98e","Carbon Economy; Data mining; Digital storage; Interfaces (materials); Metal ions; Porous carbon; Storage (materials); Carbon anodes; Functionalized; Functionalized carbon; Hard carbon; Hard carbon anode; Heteroatom doping; Heteroatoms; Sodium ion batteries; Sodium storage mechanism; Storage mechanism; Sodium-ion batteries","Review","Final","","Scopus","2-s2.0-105029935234"
"Liang J.; Fu Q.; Dai S.; Liu P.; Wang F.; Liu W.; Liu D.; Deng J.","Liang, Jiadong (60129779900); Fu, Qianhui (59930442000); Dai, Shaoyang (59930386100); Liu, Peng (57212750720); Wang, Feng (57211809195); Liu, Wenping (55205990300); Liu, Daosheng (57193905284); Deng, Jianqiu (59698833400)","60129779900; 59930442000; 59930386100; 57212750720; 57211809195; 55205990300; 57193905284; 59698833400","Interface-engineered biomass/asphalt-derived hard carbon composites toward enhanced sodium storage","2026","Journal of Power Sources","667","","239290","","","0","10.1016/j.jpowsour.2026.239290","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029916813&doi=10.1016%2Fj.jpowsour.2026.239290&partnerID=40&md5=212d5d9b3deaec31633734341e226e49","Anode materials; Anodes; Asphalt; Biomass; Carbon; Carbon carbon composites; Digital storage; Electric discharges; Interfaces (materials); Metal ions; Storage (materials); Anode material; Asphalt hard carbon; Biomass hard carbon; Carbon composites; Carbon source; Composites material; Hard carbon; Interface engineering; Sodium ion batteries; Sodium-ion batteries","Article","Final","","Scopus","2-s2.0-105029916813"
"Risco-Martín J.L.; Cárdenas R.; Esteban S.; Arroba P.","Risco-Martín, José L. (6504443236); Cárdenas, Román (57211680992); Esteban, Segundo (7004361089); Arroba, Patricia (39460974600)","6504443236; 57211680992; 7004361089; 39460974600","A DEVS-based MBSE methodology for seamless deployment via Formal Digital Twin architectures","2026","Information and Software Technology","190","","107974","","","0","10.1016/j.infsof.2025.107974","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024340678&doi=10.1016%2Fj.infsof.2025.107974&partnerID=40&md5=0be53c5a3eaf65f5ee31c55d1497a361","Abstracting; Computation theory; Computational methods; Computer software reusability; Cyber Physical System; Digital twin; Embedded systems; Formal methods; Interfaces (computer); Navigation; Real time systems; Specifications; Verification; Computational modelling; Cybe-physical systems; Cyber-physical systems; Discrete-Event System Specification; Engineering methodology; Formalisation; Model-based system engineering; Model-based system engineerings; Realtime simulation (RTS); Recoding; Discrete event simulation","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105024340678"
"Gómez-Delgado J.; Marín-Palacios C.; Moreno L.","Gómez-Delgado, Javier (60332427900); Marín-Palacios, Cristina (57266440000); Moreno, Lourdes (7101696703)","60332427900; 57266440000; 7101696703","Integrating accessibility, usability and UX in web project management: a systematic review","2026","Universal Access in the Information Society","25","1","28","","","0","10.1007/s10209-025-01298-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027454295&doi=10.1007%2Fs10209-025-01298-0&partnerID=40&md5=d2685567bc41da04d87d4c60bfb20c29","Automation; Human computer interaction; Life cycle; Usability engineering; User centered design; User experience; User interfaces; Accessibility; Digital quality; Evaluation methods; Evaluation metrics; Inclusive design; Project lifecycle; Usability; Users' experiences; Web programs; Web project lifecycle; Project management","Review","Final","","Scopus","2-s2.0-105027454295"
"Castro-Martin A.P.; Morales Guanga C.; Barrionuevo J.R.C.; Paucar Samaniego M.; Monar Naranjo M.; Santamaría Aguirre J.; López Vaca A.","Castro-Martin, Ana Pamela (57192138235); Morales Guanga, Christian (60503398300); Barrionuevo, Josue Rafael Carrera (60502607300); Paucar Samaniego, Mayra (57200377682); Monar Naranjo, Martin (58221863300); Santamaría Aguirre, Jorge (57191578567); López Vaca, Andrés (60503593400)","57192138235; 60503398300; 60502607300; 57200377682; 58221863300; 57191578567; 60503593400","IoT Technology and Augmented Reality Integrated into Urban Furniture for Tourism 4.0","2026","Applied Sciences (Switzerland)","16","5","2603","","","0","10.3390/app16052603","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105032742990&doi=10.3390%2Fapp16052603&partnerID=40&md5=6ca12781eb6a80e3dc4c87c4d99c433e","Industry 4.0; Internet of things; Leisure industry; Smart city; Tourism; Condition; Cyber physicals; Design implementation; Digital transformation; Ecuador; Tourism 4.0; Tourism infrastructure; Tourism services; Urban furniture; Visitor experiences; Augmented reality","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105032742990"
